programme_id,programme_title,funder,implementer,budget_gbp,start_date
GB-GOV-13-OODA-ESRC-JZQR3SF-BAQC6U9-E3VCQ4W,Security on the Move: Everyday security of IDPs in rapidly growing Somali Cities,"DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY",,108144,2017-09-01
GB-GOV-13-FUND--GCRF-NE_P021050_1,"Sustainable Oceans, Livelihoods and food Security Through Increased Capacity in Ecosystem research in the Western Indian Ocean (SOLSTICE-WIO)","DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY",NATIONAL OCEANOGRAPHY CENTRE,3023291,2017-04-01
GB-GOV-13-FUND--GCRF-NE_P021050_2,"Sustainable Oceans, Livelihoods and food Security Through Increased Capacity in Ecosystem research in the Western Indian Ocean (SOLSTICE-WIO)","DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY",NATIONAL OCEANOGRAPHY CENTRE,3911197,2019-10-31
GB-GOV-3-CSSF,"Conflict, Stability and Security Fund (CSSF)","Conflict, Stability and Security Fund (CSSF)",Joint Funds Unit (JFU),0,2017-04-01
GB-1-203871,Energy Security and Resource Efficiency in Somaliland,"Foreign, Commonwealth and Development Office (FCDO)",Mott MacDonald Limited,0,2013-02-18
GB-1-203871,Energy Security and Resource Efficiency in Somaliland,"Foreign, Commonwealth and Development Office (FCDO)",DAI Europe,0,2013-02-18
GB-1-203871,Energy Security and Resource Efficiency in Somaliland,"Foreign, Commonwealth and Development Office (FCDO)",Oxford Policy Management,0,2013-02-18
GB-1-203871,Energy Security and Resource Efficiency in Somaliland,"Foreign, Commonwealth and Development Office (FCDO)",WYG International,0,2013-02-18
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Tubali Limited,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",UN General Trust Fund,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Ms Gulden Bayaz,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Ernst & Young Kenya,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",PwC Kenya,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",RMI Somalia,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)","Foreign, Commonwealth and Development Office",0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",UK - Ministry of Defence,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",International Development Law Organization,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Danish Refugee Council,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",United Nations Office for Project Services (UNOPS),0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",International Bank for Reconstruction and Development,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Crown Agents Limited,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Sahan Research Ltd,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Adam Smith International,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Oxford Policy Management,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",Coffey International Development,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",United Nations Development Programme (UNDP),0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",United Nations Office on Drugs and Crime (UNODC),0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",World Food Programme (WFP),0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",International Monetary Fund,0,2012-09-10
GB-1-202974,Core State Functions Programme - CSFP,"Foreign, Commonwealth and Development Office (FCDO)",International Bank for Reconstruction and Development (IBRD),0,2012-09-10
GB-1-203291,Engagement in national processess to form stable and effective state administrations,"Foreign, Commonwealth and Development Office (FCDO)",United States Agency for International Development (USAID),0,2012-04-01
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Sahan,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Pact,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",JUBBALANDESE CHARITY CENTRE (JCC),0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",CESVI,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",National Democratic Institute,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Danish Refugee Council,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Finn Church Aid,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Crown Agents Limited,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",MannionDaniels,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Sahan Research Ltd,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Adam Smith International,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",Oxford Policy Management,0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",United Nations Development Programme (UNDP),0,2012-09-10
GB-1-203382,Somalia Stability Programme,"Foreign, Commonwealth and Development Office (FCDO)",World Food Programme (WFP),0,2012-09-10
GB-1-202176,Africa Conflict Prevention Pool:  Cross Border Conflict Management in Kenya and Somalia,"Foreign, Commonwealth and Development Office (FCDO)",Pact,0,2010-10-22
GB-1-203807,Reform and Service delivery by Special Police Protection Units in Somaliland and Puntland,"Foreign, Commonwealth and Development Office (FCDO)",United Nations Development Programme (UNDP),0,2013-01-14
GB-1-202025,Africa Conflict Prevention Pool: Conflict Management and PEACEBUILDING in SOOL and SANAAG Regions,"Foreign, Commonwealth and Development Office (FCDO)",CARE International UK,0,2010-07-21
GB-1-205068,Somalia Stability Fund II,"Foreign, Commonwealth and Development Office (FCDO)",Crown Agents Limited,0,2016-09-01
GB-1-205068,Somalia Stability Fund II,"Foreign, Commonwealth and Development Office (FCDO)",Crown Agents Bank Limited – CHAPS,0,2016-09-01
GB-1-205068,Somalia Stability Fund II,"Foreign, Commonwealth and Development Office (FCDO)",Crown Agents Bank,0,2016-09-01
GB-1-205068,Somalia Stability Fund II,"Foreign, Commonwealth and Development Office (FCDO)",Adam Smith International,0,2016-09-01
GB-1-201316,Africa Conflict Prevention Pool - Support to Somalia Security Sector Agreements,"Foreign, Commonwealth and Development Office (FCDO)",,0,2009-10-01
GB-1-201356,"SOLIDARITES Rapid Mechanism for IDPS & Conflict/Drought Affected People in AFMADOW, Lower SHABELLE (Ph Iii)","Foreign, Commonwealth and Development Office (FCDO)",Solidarités international,0,2009-09-01
GB-1-201432,Somalia Bridging Support for UNDP Governance and Rule of Law Activities,"Foreign, Commonwealth and Development Office (FCDO)",,0,2010-01-01
GB-1-201462,Somalia Governance and Peacebuilding Programme - GAPP,"Foreign, Commonwealth and Development Office (FCDO)",Danish Refugee Council,0,2010-01-04
GB-1-201462,Somalia Governance and Peacebuilding Programme - GAPP,"Foreign, Commonwealth and Development Office (FCDO)",Pact,0,2010-01-04
GB-1-201462,Somalia Governance and Peacebuilding Programme - GAPP,"Foreign, Commonwealth and Development Office (FCDO)",Interpeace,0,2010-01-04
GB-1-201462,Somalia Governance and Peacebuilding Programme - GAPP,"Foreign, Commonwealth and Development Office (FCDO)",Mercy Corps Europe,0,2010-01-04
